	Duhan+Foll 1928				MW Eröffnung	MW gesamt	Differenz (%)		Puls	gemessene Takte	Teiler	Dauer Eröffnung		Puls	Takte gesamt	Teiler	Dauer gesamt			Duhan+Foll 1928	dur begin		dur full		dur total		reale Dauer Nr. 1			
																			16.3	3207.88839										
																			17.1	3217.516553										
																			17.2	3267.675238										
																			17.3	3426.075283										
																			18.1	3435.354558										
																			18.2	3458.702222										
																			18.3	3490.631338										
																			19.1	3501.888435										
																			19.2	3541.173696										
																			19.3	3600.628957										
																			20.1	3609.366349										
																			20.2	3656.957098										
																			20.3	3855.25551										
																			21.1	3862.94712										
																			21.2	3919.26712										
																			21.3	4082.131882										
																			22.1	4090.864762										
																			22.2	4119.440544										
																			22.3	4196.00254										
																			23.1	4206.019048										
																			23.2	4266.610794										
																			23.3	4378.869841										
																			24.1	4387.247891										
																			24.2	4478.019048										
																			24.3	4577.674739										
